# Grain Sizes, Frequency of Grain Sizes 
3.1732,0.1386
3.1832,0.1375
3.1932,0.1363
3.2032,0.1351
3.2132,0.1340
3.2232,0.1328
3.2332,0.1317
3.2432,0.1306
3.2533,0.1295
3.2633,0.1284
3.2733,0.1273
3.2833,0.1262
3.2933,0.1252
3.3033,0.1241
3.3133,0.1231
3.3233,0.1221
3.3333,0.1210
3.3433,0.1200
3.3534,0.1190
3.3634,0.1181
3.3734,0.1171
3.3834,0.1161
3.3934,0.1152
3.4034,0.1142
3.4134,0.1133
3.4234,0.1123
3.4334,0.1114
3.4434,0.1105
3.4535,0.1096
3.4635,0.1087
3.4735,0.1078
3.4835,0.1070
3.4935,0.1061
3.5035,0.1052
3.5135,0.1044
3.5235,0.1035
3.5335,0.1027
3.5435,0.1019
3.5536,0.1011
3.5636,0.1003
3.5736,0.0995
3.5836,0.0987
3.5936,0.0979
3.6036,0.0971
3.6136,0.0963
3.6236,0.0956
3.6336,0.0948
3.6436,0.0941
3.6537,0.0933
3.6637,0.0926
3.6737,0.0919
3.6837,0.0912
3.6937,0.0904
3.7037,0.0897
3.7137,0.0890
3.7237,0.0883
3.7337,0.0877
3.7437,0.0870
3.7538,0.0863
3.7638,0.0856
3.7738,0.0850
3.7838,0.0843
3.7938,0.0837
3.8038,0.0830
3.8138,0.0824
3.8238,0.0818
3.8338,0.0811
3.8438,0.0805
3.8539,0.0799
3.8639,0.0793
3.8739,0.0787
3.8839,0.0781
3.8939,0.0775
3.9039,0.0769
3.9139,0.0764
3.9239,0.0758
3.9339,0.0752
3.9439,0.0747
3.9540,0.0741
3.9640,0.0735
3.9740,0.0730
3.9840,0.0725
3.9940,0.0719
4.0040,0.0714
4.0140,0.0709
4.0240,0.0703
4.0340,0.0698
4.0440,0.0693
4.0541,0.0688
4.0641,0.0683
4.0741,0.0678
4.0841,0.0673
4.0941,0.0668
4.1041,0.0663
4.1141,0.0658
4.1241,0.0653
4.1341,0.0649
4.1441,0.0644
4.1542,0.0639
4.1642,0.0635
4.1742,0.0630
4.1842,0.0626
4.1942,0.0621
4.2042,0.0617
4.2142,0.0612
4.2242,0.0608
4.2342,0.0604
4.2442,0.0599
4.2543,0.0595
4.2643,0.0591
4.2743,0.0587
4.2843,0.0582
4.2943,0.0578
4.3043,0.0574
4.3143,0.0570
4.3243,0.0566
4.3343,0.0562
4.3443,0.0558
4.3544,0.0554
4.3644,0.0550
4.3744,0.0547
4.3844,0.0543
4.3944,0.0539
4.4044,0.0535
4.4144,0.0531
4.4244,0.0528
4.4344,0.0524
4.4444,0.0521
4.4545,0.0517
4.4645,0.0513
4.4745,0.0510
4.4845,0.0506
4.4945,0.0503
4.5045,0.0499
4.5145,0.0496
4.5245,0.0493
4.5345,0.0489
4.5445,0.0486
4.5546,0.0483
4.5646,0.0479
4.5746,0.0476
4.5846,0.0473
4.5946,0.0470
4.6046,0.0466
4.6146,0.0463
4.6246,0.0460
4.6346,0.0457
4.6446,0.0454
4.6547,0.0451
4.6647,0.0448
4.6747,0.0445
4.6847,0.0442
4.6947,0.0439
4.7047,0.0436
4.7147,0.0433
4.7247,0.0430
4.7347,0.0428
4.7447,0.0425
4.7548,0.0422
4.7648,0.0419
4.7748,0.0416
4.7848,0.0414
4.7948,0.0411
4.8048,0.0408
4.8148,0.0406
4.8248,0.0403
4.8348,0.0400
4.8448,0.0398
4.8549,0.0395
4.8649,0.0393
4.8749,0.0390
4.8849,0.0388
4.8949,0.0385
4.9049,0.0383
4.9149,0.0380
4.9249,0.0378
4.9349,0.0375
4.9449,0.0373
4.9550,0.0370
4.9650,0.0368
4.9750,0.0366
4.9850,0.0363
4.9950,0.0361
5.0050,0.0359
5.0150,0.0356
5.0250,0.0354
5.0350,0.0352
5.0450,0.0350
5.0551,0.0347
5.0651,0.0345
5.0751,0.0343
5.0851,0.0341
5.0951,0.0339
5.1051,0.0337
5.1151,0.0335
5.1251,0.0332
5.1351,0.0330
5.1451,0.0328
5.1552,0.0326
5.1652,0.0324
5.1752,0.0322
5.1852,0.0320
5.1952,0.0318
5.2052,0.0316
5.2152,0.0314
5.2252,0.0312
5.2352,0.0310
5.2452,0.0309
5.2553,0.0307
5.2653,0.0305
5.2753,0.0303
5.2853,0.0301
5.2953,0.0299
5.3053,0.0297
5.3153,0.0296
5.3253,0.0294
5.3353,0.0292
5.3453,0.0290
5.3554,0.0288
5.3654,0.0287
5.3754,0.0285
5.3854,0.0283
5.3954,0.0281
5.4054,0.0280
5.4154,0.0278
5.4254,0.0276
5.4354,0.0275
5.4454,0.0273
5.4555,0.0271
5.4655,0.0270
5.4755,0.0268
5.4855,0.0267
5.4955,0.0265
5.5055,0.0263
5.5155,0.0262
5.5255,0.0260
5.5355,0.0259
5.5455,0.0257
5.5556,0.0256
5.5656,0.0254
5.5756,0.0253
5.5856,0.0251
5.5956,0.0250
5.6056,0.0248
5.6156,0.0247
5.6256,0.0245
5.6356,0.0244
5.6456,0.0243
5.6557,0.0241
5.6657,0.0240
5.6757,0.0238
5.6857,0.0237
5.6957,0.0236
5.7057,0.0234
5.7157,0.0233
5.7257,0.0231
5.7357,0.0230
5.7457,0.0229
5.7558,0.0228
5.7658,0.0226
5.7758,0.0225
5.7858,0.0224
5.7958,0.0222
5.8058,0.0221
5.8158,0.0220
5.8258,0.0219
5.8358,0.0217
5.8458,0.0216
5.8559,0.0215
5.8659,0.0214
5.8759,0.0212
5.8859,0.0211
5.8959,0.0210
5.9059,0.0209
5.9159,0.0208
5.9259,0.0206
5.9359,0.0205
5.9459,0.0204
5.9560,0.0203
5.9660,0.0202
5.9760,0.0201
5.9860,0.0200
5.9960,0.0198
6.0060,0.0197
6.0160,0.0196
6.0260,0.0195
6.0360,0.0194
6.0460,0.0193
6.0561,0.0192
6.0661,0.0191
6.0761,0.0190
6.0861,0.0189
6.0961,0.0188
6.1061,0.0187
6.1161,0.0186
6.1261,0.0185
6.1361,0.0184
6.1461,0.0183
6.1562,0.0182
6.1662,0.0181
6.1762,0.0180
6.1862,0.0179
6.1962,0.0178
6.2062,0.0177
6.2162,0.0176
6.2262,0.0175
6.2362,0.0174
6.2462,0.0173
6.2563,0.0172
6.2663,0.0171
6.2763,0.0170
6.2863,0.0169
6.2963,0.0168
6.3063,0.0167
6.3163,0.0166
6.3263,0.0165
6.3363,0.0165
6.3463,0.0164
6.3564,0.0163
6.3664,0.0162
6.3764,0.0161
6.3864,0.0160
6.3964,0.0159
6.4064,0.0159
